route_carrier,Quarter,fare_mean_change,risk_change,demand_c_change
ORD-DEN_WN,1,-15.499131192721876,0.0020295202952029592,0.2864657739032932
ORD-DEN_WN,2,-29.434827640336238,-0.003663003663003664,-0.008238975544553107
ORD-DEN_WN,3,-3.934973760535229,0.012681159420289856,-0.11994675810169397
ORD-DEN_WN,4,0.4422240226264478,-0.0036231884057971037,-0.19896041626982264
ORD-DFW_AA,1,-7.316900829710335,-0.018170015033483672,0.0781833950833537
ORD-DFW_AA,2,-22.652877505345373,-0.01282051282051283,0.11490365829716076
ORD-DFW_AA,3,-25.43278769387996,-0.0054347826086956486,0.15025614786072516
ORD-DFW_AA,4,-14.64010103562265,0.001811594202898545,0.11951737859850375
ORD-DFW_UA,1,24.483474049382806,-0.018170015033483672,0.1075778114664745
ORD-DFW_UA,2,4.923824561967308,-0.01282051282051283,0.043908783151927366
ORD-DFW_UA,3,2.027532634572424,-0.0054347826086956486,-0.02794233165659321
ORD-DFW_UA,4,6.213917549089672,0.001811594202898545,-0.06972520399862603
ORD-JFK_AA,1,-1.4813493192957026,-0.005179718463851304,0.28831719473416584
ORD-JFK_AA,2,-15.30557112923779,-0.016483516483516494,-0.18794710666710035
ORD-JFK_AA,3,-34.726479684419616,0.023550724637681153,-0.034582364138151966
ORD-JFK_AA,4,-19.00185104881544,-0.009057971014492752,0.1287240638345919
ORD-JFK_DL,1,5.283429042904288,-0.005179718463851304,-0.11531084651099466
ORD-JFK_DL,2,-7.451438476134911,-0.016483516483516494,-0.1724160278045508
ORD-JFK_DL,3,-53.740699230846076,0.023550724637681153,-0.12485020287947624
ORD-JFK_DL,4,-9.834881494562666,-0.009057971014492752,0.24430177682155563
ORD-LAX_AA,1,12.489453368377497,0.02058220582205822,-0.08222232756359027
ORD-LAX_AA,2,-30.9229087849277,-0.012820512820512817,0.014927971193900547
ORD-LAX_AA,3,-38.85876719462797,0.007246376811594207,0.18635843045686507
ORD-LAX_AA,4,-19.838735730752433,0.0036231884057970967,0.09485308737700748
ORD-LAX_UA,1,33.073557881637015,0.02058220582205822,-0.08725478729733638
ORD-LAX_UA,2,-28.116132571753155,-0.012820512820512817,0.09910638072340028
ORD-LAX_UA,3,-16.03519110018715,0.007246376811594207,0.057012064263767925
ORD-LAX_UA,4,-3.61500152468426,0.0036231884057970967,-0.04572028430198216
ORD-LAX_WN,3,48.000087301587286,0.007246376811594207,-0.028170876966696845
ORD-SEA_AA,1,23.62884014836527,-0.017985513188465224,-0.1992965025840876
ORD-SEA_AA,2,-27.044340054274983,-0.01282051282051283,-0.09273502303219949
ORD-SEA_AA,3,-5.4576728996354404,0.0,-0.1523697354562641
ORD-SEA_AA,4,13.305440856707975,-0.012681159420289856,0.3102563944903203
ORD-SEA_DL,1,10.366986788100803,-0.017985513188465224,0.04220904473948206
ORD-SEA_DL,2,-21.32386224708989,-0.01282051282051283,-0.06221771316917035
ORD-SEA_DL,3,-21.803556989919826,0.0,0.023392879574704928
ORD-SEA_DL,4,12.851563296684617,-0.012681159420289856,0.2576592771524657
ORD-SEA_UA,1,0.7333091048681695,-0.017985513188465224,0.16876329200725682
ORD-SEA_UA,2,-32.32248892501525,-0.01282051282051283,0.17004204716389282
ORD-SEA_UA,3,-16.31123869237331,0.0,0.08264561696300277
ORD-SEA_UA,4,15.625952958738026,-0.012681159420289856,-0.03984249398717399
SEA-ATL_DL,1,-6.16682181364132,-0.03446767801011341,0.058066421393396794
SEA-ATL_DL,2,-38.01392688069063,0.001831501831501825,0.23810642399092252
SEA-ATL_DL,3,-5.386962193181148,-0.010869565217391311,0.0005399568165742608
SEA-ATL_DL,4,-13.355747497351388,-0.018115942028985504,0.2161136453859518
