Year,Quarter,Origin,Dest,t100_passengers,seats,departures,scheduled_departures,load_factor,scheduled_minus_performed,performed_scheduled_ratio
2024,1,ATL,DFW,215466.0,263803.0,1474.0,1490.0,0.8167685735188758,16.0,0.9892617449664429
2024,1,ATL,JFK,101583.0,124216.0,731.0,727.0,0.8177931989437753,-4.0,1.0055020632737277
2024,1,ATL,LAX,216291.0,247015.0,1163.0,1163.0,0.875618889541121,0.0,1.0
2024,1,ATL,ORD,166232.0,208688.0,1275.0,1285.0,0.7965575404431496,10.0,0.9922178988326849
2024,1,ATL,SEA,111332.0,130907.0,679.0,696.0,0.850466361615498,17.0,0.9755747126436781
2024,1,DEN,ATL,210711.0,249172.0,1439.0,1451.0,0.8456447754964442,12.0,0.9917298414886285
2024,1,DEN,DFW,205895.0,250889.0,1464.0,1484.0,0.8206617268991466,20.0,0.9865229110512129
2024,1,DEN,JFK,40254.0,55076.0,305.0,307.0,0.7308809644854383,2.0,0.993485342019544
2024,1,DEN,LAX,220728.0,275940.0,1721.0,1764.0,0.7999130245705588,43.0,0.9756235827664399
2024,1,DEN,ORD,211100.0,266800.0,1436.0,1473.0,0.7912293853073463,37.0,0.9748811948404617
2024,1,DEN,SEA,188559.0,227822.0,1399.0,1426.0,0.8276593129724082,27.0,0.9810659186535764
2024,1,DFW,ATL,215394.0,266049.0,1488.0,1496.0,0.8096027423519727,8.0,0.9946524064171123
2024,1,DFW,DEN,211759.0,251254.0,1477.0,1493.0,0.8428084727009322,16.0,0.9892833221701273
2024,1,DFW,JFK,52313.0,66541.0,451.0,456.0,0.7861769435385701,5.0,0.9890350877192983
2024,1,DFW,LAX,244438.0,306648.0,1608.0,1613.0,0.7971289556755629,5.0,0.9969001859888407
2024,1,DFW,ORD,194488.0,237816.0,1379.0,1397.0,0.8178087260739395,18.0,0.9871152469577666
2024,1,DFW,SEA,146459.0,172012.0,930.0,960.0,0.8514464107155315,30.0,0.96875
2024,1,JFK,ATL,101621.0,125739.0,736.0,730.0,0.8081899808333135,-6.0,1.0082191780821919
2024,1,JFK,DEN,40829.0,55068.0,305.0,307.0,0.7414287789641897,2.0,0.993485342019544
2024,1,JFK,DFW,52761.0,65989.0,447.0,453.0,0.7995423479670855,6.0,0.9867549668874173
2024,1,JFK,LAX,309611.0,358757.0,2258.0,2261.0,0.8630103384742318,3.0,0.9986731534719151
2024,1,JFK,ORD,48028.0,64950.0,612.0,615.0,0.7394611239414934,3.0,0.9951219512195122
2024,1,JFK,SEA,87972.0,102225.0,564.0,590.0,0.8605722670579604,26.0,0.9559322033898305
2024,1,LAX,ATL,221525.0,247043.0,1164.0,1164.0,0.8967062414235578,0.0,1.0
2024,1,LAX,DEN,215244.0,269480.0,1689.0,1735.0,0.7987383108208401,46.0,0.9734870317002882
2024,1,LAX,DFW,253521.0,307074.0,1606.0,1608.0,0.8256022978174642,2.0,0.9987562189054726
2024,1,LAX,JFK,312338.0,357700.0,2252.0,2260.0,0.8731842325971485,8.0,0.9964601769911504
2024,1,LAX,ORD,245488.0,287500.0,1476.0,1510.0,0.8538713043478261,34.0,0.9774834437086093
2024,1,LAX,SEA,209005.0,250881.0,1604.0,1647.0,0.8330842112395916,43.0,0.9738919247115968
2024,1,ORD,ATL,163702.0,208264.0,1275.0,1282.0,0.7860311911804249,7.0,0.9945397815912637
2024,1,ORD,DEN,207443.0,262824.0,1426.0,1479.0,0.7892848446108423,53.0,0.9641649763353617
2024,1,ORD,DFW,200775.0,238223.0,1378.0,1395.0,0.8428027520432536,17.0,0.9878136200716846
2024,1,ORD,JFK,47330.0,64811.0,612.0,617.0,0.7302772677477589,5.0,0.9918962722852512
2024,1,ORD,LAX,244304.0,293017.0,1486.0,1516.0,0.8337536729950822,30.0,0.9802110817941952
2024,1,ORD,SEA,116949.0,132106.0,808.0,832.0,0.8852663770002877,24.0,0.9711538461538461
2024,1,SEA,ATL,110425.0,130976.0,679.0,700.0,0.8430933911556315,21.0,0.97
2024,1,SEA,DEN,178148.0,223556.0,1384.0,1426.0,0.7968831075882553,42.0,0.97054698457223
2024,1,SEA,DFW,144726.0,171041.0,926.0,955.0,0.8461479996024345,29.0,0.9696335078534032
2024,1,SEA,JFK,87611.0,101167.0,559.0,593.0,0.8660037363962557,34.0,0.9426644182124789
2024,1,SEA,LAX,208562.0,250409.0,1600.0,1639.0,0.8328853994864401,39.0,0.9762050030506406
2024,1,SEA,ORD,115323.0,132733.0,811.0,842.0,0.8688344270076017,31.0,0.9631828978622328
2024,2,ATL,DEN,253046.0,281958.0,1622.0,1630.0,0.897459905375978,8.0,0.9950920245398773
2024,2,ATL,DFW,254207.0,289065.0,1603.0,1633.0,0.8794112050922803,30.0,0.9816289038579302
2024,2,ATL,JFK,124936.0,143489.0,842.0,847.0,0.8707008899636905,5.0,0.9940968122786304
2024,2,ATL,LAX,249613.0,271981.0,1307.0,1314.0,0.9177589611039007,7.0,0.9946727549467276
2024,2,ATL,ORD,209330.0,236193.0,1424.0,1438.0,0.8862667394884691,14.0,0.9902642559109874
2024,2,ATL,SEA,160776.0,176532.0,930.0,931.0,0.910747060023112,1.0,0.9989258861439313
2024,2,DEN,ATL,248087.0,284041.0,1626.0,1624.0,0.8734196823697987,-2.0,1.001231527093596
2024,2,DEN,DFW,233182.0,279440.0,1608.0,1647.0,0.8344617807042657,39.0,0.97632058287796
2024,2,DEN,JFK,53365.0,64486.0,355.0,354.0,0.8275439630307354,-1.0,1.002824858757062
2024,2,DEN,LAX,254319.0,302748.0,1968.0,1961.0,0.8400352768639264,-7.0,1.0035696073431923
2024,2,DEN,ORD,264036.0,316084.0,1666.0,1683.0,0.8353349109730325,17.0,0.98989898989899
2024,2,DEN,SEA,265178.0,295516.0,1782.0,1788.0,0.8973388919720083,6.0,0.9966442953020134
2024,2,DFW,ATL,256459.0,290034.0,1612.0,1643.0,0.884237710061579,31.0,0.9811320754716981
2024,2,DFW,DEN,240695.0,279263.0,1616.0,1655.0,0.8618936271543313,39.0,0.9764350453172206
2024,2,DFW,JFK,60138.0,66526.0,451.0,461.0,0.9039773922977482,10.0,0.9783080260303688
2024,2,DFW,LAX,307632.0,344162.0,1804.0,1841.0,0.8938581249527838,37.0,0.979902227050516
2024,2,DFW,ORD,234953.0,267906.0,1530.0,1564.0,0.8769979022492964,34.0,0.9782608695652174
2024,2,DFW,SEA,191097.0,209453.0,1131.0,1168.0,0.9123622005891536,37.0,0.9683219178082192
2024,2,JFK,ATL,121086.0,144722.0,850.0,848.0,0.8366799795469936,-2.0,1.0023584905660377
2024,2,JFK,DEN,54685.0,64376.0,353.0,353.0,0.8494625326208525,0.0,1.0
2024,2,JFK,DFW,55973.0,65163.0,443.0,452.0,0.858969046851741,9.0,0.9800884955752213
2024,2,JFK,LAX,339877.0,384193.0,2422.0,2423.0,0.8846517245238721,1.0,0.9995872884853487
2024,2,JFK,ORD,64727.0,78135.0,677.0,688.0,0.8283995648556984,11.0,0.9840116279069767
2024,2,JFK,SEA,131252.0,145688.0,801.0,806.0,0.9009115369831421,5.0,0.9937965260545906
2024,2,LAX,ATL,247177.0,272144.0,1303.0,1305.0,0.908258128049856,2.0,0.9984674329501916
2024,2,LAX,DEN,253614.0,300597.0,1922.0,1927.0,0.8437010349404684,5.0,0.9974052932018682
2024,2,LAX,DFW,302560.0,341980.0,1791.0,1832.0,0.8847301011755073,41.0,0.9776200873362445
2024,2,LAX,JFK,347784.0,384056.0,2418.0,2425.0,0.9055554398316912,7.0,0.9971134020618557
2024,2,LAX,ORD,305005.0,336708.0,1652.0,1668.0,0.9058442329852573,16.0,0.9904076738609112
2024,2,LAX,SEA,262577.0,307467.0,1879.0,1883.0,0.8540005919334432,4.0,0.9978757302177377
2024,2,ORD,ATL,204456.0,238844.0,1434.0,1442.0,0.8560231783088543,8.0,0.9944521497919556
2024,2,ORD,DEN,262484.0,316396.0,1668.0,1676.0,0.82960593686393,8.0,0.9952267303102625
2024,2,ORD,DFW,233807.0,267788.0,1523.0,1556.0,0.8731048441304315,33.0,0.9787917737789203
2024,2,ORD,JFK,66575.0,78011.0,675.0,687.0,0.8534052889977054,12.0,0.982532751091703
2024,2,ORD,LAX,302351.0,340990.0,1673.0,1673.0,0.8866858265638289,0.0,1.0
2024,2,ORD,SEA,205433.0,228871.0,1375.0,1390.0,0.8975929672173407,15.0,0.9892086330935251
2024,2,SEA,ATL,155251.0,177564.0,935.0,934.0,0.8743382667657859,-1.0,1.0010706638115632
2024,2,SEA,DEN,251712.0,293349.0,1777.0,1790.0,0.8580632625302966,13.0,0.9927374301675977
